papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
AALR3,10.56,-4.62,1.29,1.067,0.0,0.485,-5.39,49.91,-1.1,80.67,14.69,0.021400000000000002,-0.2236,0.010700000000000001,-0.27899999999999997,0.66,1216400.0,969191000.0,0.9,0.0346
ABCB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441,0.0,0.0,6138130000.0,0.0,0.5527000000000001
ABCB4,21.04,5.82,0.84,0.0,0.0708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1441,0.0,15604800.0,6138130000.0,0.0,0.5527000000000001
ABEV3,11.56,12.56,2.1,2.292,0.0632,1.361,-769.2,10.79,-15.48,10.19,7.48,0.21239999999999998,0.188,0.16899999999999998,0.1675,0.99,354143000.0,86594300000.0,0.04,0.11599999999999999
ABYA3,4.91,-214.8,1.76,2.055,0.0,0.527,1.98,19.96,-2.75,33.67,33.67,0.10289999999999999,-0.0096,0.0278,-0.008199999999999999,2.09,0.0,292060000.0,1.31,0.1641
ACES3,95.27,8.79,2.28,1.693,0.0,1.438,6.4,7.2,20.77,6.54,6.54,0.2352,0.19269999999999998,0.26899999999999996,0.2595,2.05,0.0,3105800000.0,0.09,0.1334
ACES4,94.73,8.74,2.27,1.683,0.0,1.43,6.37,7.16,20.65,6.5,6.5,0.2352,0.19269999999999998,0.26899999999999996,0.2595,2.05,0.0,3105800000.0,0.09,0.1334
ADHM3,1.56,-4.09,-1.29,770.924,0.0,105.126,-1.43,-5.69,-1.27,-5.69,-5.81,-135.485,-188.606,5.2170000000000005,0.3147,0.0,2064.0,-19776000.0,0.0,0.43479999999999996
AEDU11,37.35,20.13,1.13,1.405,0.0,0.732,5.77,13.93,-7.31,16.14,10.82,0.1008,0.0698,0.057699999999999994,0.055999999999999994,2.04,0.0,2415400000.0,0.3,0.209
AEDU3,18.35,59.34,3.32,4.141,0.0,2.159,17.0,41.06,-21.55,43.27,29.01,0.1008,0.0698,0.057699999999999994,0.055999999999999994,2.04,0.0,2415400000.0,0.3,0.209
AELP3,1.93,8.49,-200.57,-0.062,0.0,5.216,0.0,-12.58,0.0,-11.94,-11.98,0.0049,-0.0073,0.0,-23.6383,0.0,0.0,-904000.0,0.0,0.0118
AERI3,6.85,-3.39,0.39,0.169,0.0,0.123,0.5,2.06,-2.17,5.8,4.31,0.0823,-0.0499,0.0816,-0.11449999999999999,1.64,1673560.0,1097230000.0,1.35,0.0353
AESB3,11.23,489.79,1.54,1.946,0.0066,0.346,-2.67,6.99,-0.59,17.05,8.58,0.2784,0.049100000000000005,0.0553,0.0031,0.52,44691600.0,4394450000.0,2.62,0.1489
AESL3,10081.9,0.0,2.26,0.0,0.0,0.632,-54.75,0.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,5030750000.0,1.55,0.1426
AFLT3,7.17,17.66,1.73,7.541,0.0635,1.516,8.85,14.87,14.88,14.42,14.33,0.507,0.42710000000000004,0.10800000000000001,0.098,4.16,4104.56,261489000.0,0.0,0.1827
