,post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance
0,495,AAZQ11,0.1100,1.2000,1.2733,3.8200,1.2900,7.7400,1.2725,15.2700,0.0000,7.6411,1.2000,9.1900,6.4200,2024,1.2500,9.6000,0.0000,230857797.1500,0.0000,0.0000,3.7409,1.2470,7.4939,1.2490,11.7553,1.4694,Indefinido,indefinido,8.81,887911.57,230857797.15,0.9177,0.9177083333333335,AAZQ11,,12.562838225963,27598,,,
1,238,ABCP11,0.4700,0.6600,0.6400,1.9200,0.7983,4.7900,0.7808,9.3700,-7.8071,7.3305,-7.1986,71.6800,3.9300,2024,0.4930,101.4100,10.4443,477561219.9100,18.8872,10.9889,1.7956,0.5985,3.7305,0.6218,7.2151,0.6013,Shoppings,shoppings,70.13,47310.86,477561219.91,0.6915,0.6915491568878809,ABCP11,1,14.878191492294,16563,,,
2,177,AFHI11,0.9500,0.9700,0.9667,2.9000,0.9817,5.8900,1.0325,12.3900,-0.3349,5.7740,0.6318,98.2000,4.8600,2024,0.9919,95.7800,0.8529,382833867.3900,8.2394,1.8532,2.9606,0.9869,6.0725,1.0121,12.7239,1.0603,Papéis,papeis,96.99,1298191.4,382833867.39,1.0126,1.0126331175610774,AFHI11,0,7.552426686107,34676,,,
3,553,AGRX11,0.1300,1.3500,1.1733,3.5200,1.2617,7.5700,1.3200,15.8400,-7.5743,-6.5392,-6.3266,9.6400,6.2000,2024,,,,,,,,,,,,,Outros,outros,9.69,286380.19,0,0,,AGRX11,0,15.946044938241,0,,,
4,56,AIEC11,0.7100,1.3400,1.3667,4.1000,1.3550,8.1300,1.2575,15.0900,0.2849,0.8042,1.6287,52.8000,6.7400,2024,0.8424,84.2800,-9.8706,406641162.9400,-8.0609,-9.1113,1.8887,0.6296,5.8935,0.9823,10.7486,0.8957,Lajes Corporativas,lajes-corporativas,55.03,366919.19,406641162.94,0.6529,0.6529425723777883,AIEC11,2,16.521482659861,17213,,,
5,2722,AJFI11,0.0700,0.7500,0.7633,2.2900,0.7800,3.1200,0.7800,3.1200,-4.3165,-3.7896,-3.5989,9.3100,3.1200,2024,,,,,,,,,,,,,Shoppings,shoppings,9.13,714567.67,394707426.45,0.7316,,AJFI11,,12.712758210454,13485,,,
6,216,ALMI11,0.3711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2017,0.0000,2046.7799,-0.0517,214297860.7000,0.8982,-0.0517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Lajes Corporativas,lajes-corporativas,630,35599.56,240783776.28,0.2909,0.3078005602849627,ALMI11,1,32.496344433741,2176,,,
7,556,ALZM11,0.0850,1.0200,0.9967,2.9900,1.0467,6.2800,0.9683,11.6200,-2.3392,2.0509,-1.3430,8.3500,5.2400,2024,1.0143,8.3800,-90.9454,127261046.5100,-90.4727,-90.8536,3.0756,1.0252,6.6570,1.1095,11.4853,0.9571,Fundo de Fundos,fundo-de-fundos,8.27,208942.24,127261046.51,0.9869,0.9868735083532219,ALZM11,0,15.833450126739,10006,,,
8,366,ALZR11,0.7340,0.6600,0.6667,2.0000,0.6733,4.0400,0.6917,8.3000,-4.5151,-1.8548,-3.8849,111.4500,3.3400,2024,0.7279,105.9200,-0.9075,1044422993.1500,7.7996,-0.1862,2.2299,0.7433,4.5083,0.7514,9.1506,0.7626,Misto,misto,109.83,2652892.86,1044422993.15,1.0369,1.0369146525679758,ALZR11,14,10.067286436743,146225,,,
9,283,APTO11,0.0900,0.9400,0.9367,2.8100,0.9300,5.5800,0.9808,11.7700,-1.1340,3.3365,-0.2047,9.5900,4.6500,2024,0.8876,10.1400,1.8072,46758185.5600,17.2767,2.7108,2.6593,0.8864,5.2806,0.8801,11.2078,0.9340,Imóveis Residenciais,imoveis-residenciais,9.48,27240.24,46758185.56,0.9349,0.9349112426035503,APTO11,4,9.755166241749,9742,,,
10,2784,APXM11,0.6033,0.6200,0.2067,0.6200,0.3900,2.3400,0.4513,3.6100,0.0000,,0.0000,97.9900,1.7600,2024,,,,,,,,,,,,,Shoppings,shoppings,101.99,36099.08,169879958.88,1.0567,,APXM11,1,50.34461836405,394,,,
11,398,ARCT11,0.5000,0.0000,0.4330,1.2989,0.6359,3.8155,1.0462,12.5547,0.0000,,0.0000,,0.0000,2023,0.7628,99.7700,0.0401,369956160.0700,6.3085,0.8032,2.3120,0.7707,,,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,87.13,1053903.45,371534654.03,0.8696,0.8733086098025459,ARCT11,9,15.634888213165,43228,,,
12,2744,AROA11,0.0061,0.6200,0.5767,1.7300,0.4500,2.7000,0.2250,2.7000,-4.8077,-28.1727,-4.2175,0.9900,2.7000,2024,,,,,,,,,,,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,0.98,5433.71,164994124.27,1,,AROA11,6,179.61591257888,2108,,,
13,369,ARRI11,0.1000,1.0900,1.0833,3.2500,1.0917,6.5500,1.1150,13.3800,-0.9677,7.3180,0.1117,9.2100,5.4500,2024,1.1442,8.7400,-1.3544,134086466.5600,-89.0316,-0.2257,3.3990,1.1330,6.7447,1.1241,13.5629,1.1302,Papéis,papeis,9.06,434424.9,134086466.56,1.0366,1.036613272311213,ARRI11,0,9.414383965119,26605,,,
14,2746,ARXD11,1.0000,1.0700,1.0567,3.1700,1.0500,6.3000,0.6083,7.3000,-2.1028,4.3091,-1.0553,93.1100,5.2400,2024,,,,,,,,,,,,,Papéis,papeis,93.18,35344.24,64082351.33,0.9523,,ARXD11,,21.413091348089,549,,,
15,1737,ASMT11,0.7700,1.1100,1.0600,3.1800,1.0283,6.1700,0.9583,11.5000,-5.5041,-5.8881,-4.4552,69.3600,2.1600,2023,,,,,,,,,,,,,Lajes Corporativas,lajes-corporativas,44.94,2069.67,97833436.49,0.4967,,ASMT11,3,52.338918919811,506,,,
